price,rooms,bathrooms,sizem2,eixample,ciutat_vella,horta_guinardo,gracia,les_corts,nou_barris,sant_andreu,sant_marti,sants_montjuic,sarria_sant_gervasi
1250,2,2,86,1,0,0,0,0,0,0,0,0,0
1450,3,1,80,1,0,0,0,0,0,0,0,0,0
800,2,1,54,1,0,0,0,0,0,0,0,0,0
1050,3,1,80,0,1,0,0,0,0,0,0,0,0
1375,2,1,85,0,0,0,0,0,0,0,0,0,1
1700,2,2,100,0,0,0,0,0,0,0,1,0,0
1300,2,1,65,0,0,0,0,0,0,0,1,0,0
2200,3,3,160,1,0,0,0,0,0,0,0,0,0
950,2,1,42,0,0,0,0,0,0,0,0,0,1
1350,2,2,77,0,0,0,0,0,0,0,0,0,1
650,2,1,50,0,0,0,0,0,0,0,0,1,0
1100,3,2,94,0,0,0,0,0,0,0,0,1,0
1800,2,2,155,1,0,0,0,0,0,0,0,0,0
1200,4,1,87,0,1,0,0,0,0,0,0,0,0
1350,2,1,70,1,0,0,0,0,0,0,0,0,0
1200,4,1,78,0,0,0,0,1,0,0,0,0,0
2200,3,3,184,1,0,0,0,0,0,0,0,0,0
900,1,1,40,0,1,0,0,0,0,0,0,0,0
1050,3,1,75,1,0,0,0,0,0,0,0,0,0
1250,2,1,100,0,0,0,0,0,0,1,0,0,0
1300,3,2,147,0,0,0,0,0,0,0,0,1,0
800,1,1,35,0,1,0,0,0,0,0,0,0,0
1030,3,1,85,1,0,0,0,0,0,0,0,0,0
2000,2,2,88,0,0,0,0,0,0,0,0,1,0
2400,3,2,100,0,0,0,0,0,0,0,1,0,0
1650,3,3,111,1,0,0,0,0,0,0,0,0,0
550,1,1,23,0,1,0,0,0,0,0,0,0,0
533,1,1,45,0,0,0,0,0,0,0,1,0,0
1100,2,1,60,0,0,0,0,0,0,0,0,0,1
2050,3,2,80,1,0,0,0,0,0,0,0,0,0
1202,3,1,93,1,0,0,0,0,0,0,0,0,0
1050,2,1,108,0,1,0,0,0,0,0,0,0,0
950,1,1,45,0,0,0,0,0,0,0,0,0,1
1200,2,1,55,0,0,0,0,0,0,0,0,1,0
1050,3,2,100,0,0,0,0,0,0,0,0,1,0
1300,3,2,95,1,0,0,0,0,0,0,0,0,0
1000,2,1,55,0,0,0,0,0,0,0,0,1,0
1200,1,1,45,0,0,0,0,1,0,0,0,0,0
1700,3,2,114,0,0,0,0,0,0,0,1,0,0
795,2,4,65,0,0,0,0,0,0,1,0,0,0
1310,4,2,94,1,0,0,0,0,0,0,0,0,0
850,2,1,55,0,0,0,1,0,0,0,0,0,0
1300,2,1,90,1,0,0,0,0,0,0,0,0,0
1016,1,1,55,1,0,0,0,0,0,0,0,0,0
950,2,1,73,0,0,0,0,0,0,0,1,0,0
895,3,1,70,0,0,0,0,0,0,0,0,1,0
1040,3,1,75,0,0,0,0,1,0,0,0,0,0
1500,1,1,88,0,0,0,0,0,0,0,1,0,0
890,3,1,78,1,0,0,0,0,0,0,0,0,0
950,2,1,54,0,0,0,0,0,0,0,0,1,0
900,1,1,65,1,0,0,0,0,0,0,0,0,0
990,3,2,74,0,0,0,0,1,0,0,0,0,0
750,1,1,55,0,0,0,0,0,0,0,0,0,1
900,4,1,65,0,1,0,0,0,0,0,0,0,0
700,1,1,40,0,1,0,0,0,0,0,0,0,0
2400,3,2,148,0,1,0,0,0,0,0,0,0,0
1450,4,2,110,0,0,0,0,0,0,0,0,1,0
2300,4,3,170,0,0,0,0,0,0,0,0,0,1
1650,2,2,89,1,0,0,0,0,0,0,0,0,0
1100,1,1,67,0,0,0,0,0,0,0,0,0,1
3000,3,4,181,0,1,0,0,0,0,0,0,0,0
1150,3,2,73,1,0,0,0,0,0,0,0,0,0
960,2,1,60,0,0,0,0,1,0,0,0,0,0
890,1,1,56,0,0,0,0,0,0,0,1,0,0
700,2,1,50,0,0,0,0,0,0,0,0,1,0
1200,3,1,74,0,0,0,0,0,0,0,1,0,0
1150,3,2,76,0,0,0,0,0,0,1,0,0,0
620,1,1,40,0,1,0,0,0,0,0,0,0,0
2600,3,2,100,1,0,0,0,0,0,0,0,0,0
2500,3,3,107,0,1,0,0,0,0,0,0,0,0
1175,2,2,90,0,1,0,0,0,0,0,0,0,0
2700,3,3,140,0,0,0,0,0,0,0,0,0,1
3000,3,3,220,1,0,0,0,0,0,0,0,0,0
1200,4,2,85,0,0,0,0,0,0,0,0,1,0
2200,3,2,80,1,0,0,0,0,0,0,0,0,0
1200,3,2,75,1,0,0,0,0,0,0,0,0,0
1031,4,1,71,0,0,0,1,0,0,0,0,0,0
1200,2,1,60,0,0,0,0,0,0,0,1,0,0
1050,3,1,80,0,1,0,0,0,0,0,0,0,0
3900,3,2,113,0,0,0,0,0,0,0,1,0,0
3000,2,2,157,1,0,0,0,0,0,0,0,0,0
1000,3,1,80,0,0,0,0,0,0,0,1,0,0
850,1,1,50,0,1,0,0,0,0,0,0,0,0
1400,3,2,81,1,0,0,0,0,0,0,0,0,0
940,2,1,45,1,0,0,0,0,0,0,0,0,0
1000,3,1,65,0,0,0,0,0,0,0,0,1,0
1700,2,1,70,1,0,0,0,0,0,0,0,0,0
3100,4,2,105,1,0,0,0,0,0,0,0,0,0
2600,7,2,153,1,0,0,0,0,0,0,0,0,0
850,1,1,30,0,1,0,0,0,0,0,0,0,0
690,1,1,35,0,1,0,0,0,0,0,0,0,0
2000,3,2,100,0,0,0,0,0,0,0,0,0,1
875,2,1,52,0,0,0,0,0,0,0,0,0,1
4091,2,1,86,1,0,0,0,0,0,0,0,0,0
1400,2,1,55,0,1,0,0,0,0,0,0,0,0
990,2,2,92,0,0,0,0,0,0,0,0,1,0
750,2,1,38,0,0,0,0,0,0,0,1,0,0
1750,3,2,90,0,0,0,0,1,0,0,0,0,0
800,2,1,65,0,0,0,0,0,0,0,0,1,0
1700,3,2,173,0,1,0,0,0,0,0,0,0,0
1650,2,2,86,0,1,0,0,0,0,0,0,0,0
970,2,1,67,0,0,0,0,1,0,0,0,0,0
1100,2,1,65,0,1,0,0,0,0,0,0,0,0
1100,1,1,68,1,0,0,0,0,0,0,0,0,0
795,1,1,40,0,0,0,0,0,0,0,0,1,0
991,3,2,103,0,0,0,0,0,0,0,1,0,0
2000,3,2,125,0,0,0,0,1,0,0,0,0,0
1200,3,1,80,0,0,0,0,0,0,0,0,1,0
1200,3,1,90,1,0,0,0,0,0,0,0,0,0
1250,4,2,115,1,0,0,0,0,0,0,0,0,0
925,3,1,65,0,1,0,0,0,0,0,0,0,0
700,1,1,55,0,1,0,0,0,0,0,0,0,0
850,1,1,35,0,0,0,0,0,0,0,0,0,1
1800,2,1,70,1,0,0,0,0,0,0,0,0,0
3700,2,2,72,0,1,0,0,0,0,0,0,0,0
4200,2,2,90,0,1,0,0,0,0,0,0,0,0
980,4,2,80,0,0,0,0,0,0,0,1,0,0
1750,3,1,120,0,0,0,0,0,0,0,0,0,1
6700,2,2,80,1,0,0,0,0,0,0,0,0,0
850,3,1,65,1,0,0,0,0,0,0,0,0,0
890,3,1,83,0,0,0,0,0,0,0,0,1,0
650,2,1,39,0,1,0,0,0,0,0,0,0,0
1500,2,1,80,1,0,0,0,0,0,0,0,0,0
1400,2,2,85,1,0,0,0,0,0,0,0,0,0
950,3,1,58,0,0,0,0,0,0,0,1,0,0
1500,4,2,115,0,0,0,0,0,0,0,0,0,1
1350,2,1,78,1,0,0,0,0,0,0,0,0,0
1000,2,2,91,1,0,0,0,0,0,0,0,0,0
5800,4,3,252,1,0,0,0,0,0,0,0,0,0
1900,3,2,181,0,0,0,0,1,0,0,0,0,0
2200,3,3,133,1,0,0,0,0,0,0,0,0,0
750,1,1,40,0,1,0,0,0,0,0,0,0,0
1650,2,1,75,0,0,0,0,0,0,0,1,0,0
2500,3,2,197,0,0,0,0,0,0,0,0,0,1
2400,3,2,115,1,0,0,0,0,0,0,0,0,0
1500,2,2,75,1,0,0,0,0,0,0,0,0,0
2600,5,3,133,1,0,0,0,0,0,0,0,0,0
790,1,2,36,0,1,0,0,0,0,0,0,0,0
1150,1,1,45,0,0,0,0,1,0,0,0,0,0
790,1,1,47,1,0,0,0,0,0,0,0,0,0
965,4,2,86,0,0,0,0,0,0,1,0,0,0
1200,3,2,75,0,0,0,0,0,0,0,1,0,0
1300,4,2,100,0,0,0,0,1,0,0,0,0,0
925,1,1,54,0,0,0,0,0,0,0,0,0,1
1084,2,1,67,1,0,0,0,0,0,0,0,0,0
1000,1,1,45,0,0,0,1,0,0,0,0,0,0
990,3,1,80,1,0,0,0,0,0,0,0,0,0
1100,3,1,80,1,0,0,0,0,0,0,0,0,0
750,1,1,44,0,0,0,0,0,0,0,0,1,0
4500,3,2,200,1,0,0,0,0,0,0,0,0,0
675,1,1,38,0,0,0,0,0,0,0,1,0,0
1100,4,2,100,0,0,0,0,0,0,0,1,0,0
1650,2,1,70,0,0,0,0,0,0,0,1,0,0
1500,1,1,70,0,0,0,0,0,0,0,1,0,0
1375,2,1,72,0,0,0,0,0,0,0,0,0,1
1300,3,2,84,1,0,0,0,0,0,0,0,0,0
4600,4,4,238,0,0,0,1,0,0,0,0,0,0
1900,2,2,85,0,0,0,0,0,0,0,1,0,0
1800,2,2,85,0,1,0,0,0,0,0,0,0,0
1575,2,2,90,0,1,0,0,0,0,0,0,0,0
1150,2,1,58,1,0,0,0,0,0,0,0,0,0
920,1,1,63,0,1,0,0,0,0,0,0,0,0
800,2,1,50,1,0,0,0,0,0,0,0,0,0
1500,3,2,150,0,1,0,0,0,0,0,0,0,0
1300,2,1,70,0,0,0,0,0,0,0,0,0,1
2000,2,2,80,1,0,0,0,0,0,0,0,0,0
1150,4,1,100,0,0,0,0,0,0,0,0,1,0
7450,6,4,416,0,0,0,1,0,0,0,0,0,0
2100,2,1,95,0,1,0,0,0,0,0,0,0,0
1600,3,2,100,0,1,0,0,0,0,0,0,0,0
4950,3,2,143,1,0,0,0,0,0,0,0,0,0
990,1,1,50,0,0,0,0,0,0,0,1,0,0
650,1,1,37,0,1,0,0,0,0,0,0,0,0
794,1,1,47,0,0,0,0,1,0,0,0,0,0
1600,3,2,71,0,0,0,1,0,0,0,0,0,0
14000,9,4,1100,0,0,0,0,1,0,0,0,0,0
1600,2,2,80,0,1,0,0,0,0,0,0,0,0
490,1,1,36,1,0,0,0,0,0,0,0,0,0
900,2,1,75,0,0,0,1,0,0,0,0,0,0
5000,5,4,275,0,0,0,0,0,0,0,0,0,1
950,1,1,41,1,0,0,0,0,0,0,0,0,0
1550,4,2,85,1,0,0,0,0,0,0,0,0,0
1650,4,1,120,0,1,0,0,0,0,0,0,0,0
900,3,1,71,0,0,0,0,1,0,0,0,0,0
950,1,1,50,0,0,0,0,0,0,0,0,0,1
2600,5,2,170,0,1,0,0,0,0,0,0,0,0
1250,3,1,100,1,0,0,0,0,0,0,0,0,0
900,1,1,62,0,1,0,0,0,0,0,0,0,0
1375,2,2,81,0,0,0,1,0,0,0,0,0,0
1300,3,1,90,0,1,0,0,0,0,0,0,0,0
1000,3,1,72,1,0,0,0,0,0,0,0,0,0
2300,4,3,180,1,0,0,0,0,0,0,0,0,0
2850,3,3,185,0,0,0,0,0,0,0,0,0,1
1000,3,1,72,0,1,0,0,0,0,0,0,0,0
